PROVINCE,PRICE,TYPE,YEAR,MONTH,DAY,INFLATION_RATE
فارس,107500.0,گوسفند,1392,2,9,34
فارس,97500.0,گوساله,1392,2,9,34
تهران,102500.0,گوسفند,1392,2,28,34
تهران,105000.0,گوساله,1392,2,28,34
اصفهان,100000.0,گوسفند,1392,2,28,34
اصفهان,100000.0,گوساله,1392,2,28,34
يزد,107500.0,گوسفند,1392,2,28,34
يزد,97500.0,گوساله,1392,2,28,34
خراسان رضوی,102500.0,گوسفند,1392,2,28,34
خراسان رضوی,102500.0,گوساله,1392,2,28,34
فارس,105000.0,گوسفند,1392,2,28,34
فارس,100000.0,گوساله,1392,2,28,34
تهران,107500.0,گوسفند,1392,1,20,32.3
تهران,112500.0,گوساله,1392,1,20,32.3
اصفهان,107500.0,گوسفند,1392,1,20,32.3
اصفهان,102500.0,گوساله,1392,1,20,32.3
يزد,112500.0,گوسفند,1392,1,20,32.3
يزد,102500.0,گوساله,1392,1,20,32.3
خراسان رضوی,112500.0,گوسفند,1392,1,20,32.3
خراسان رضوی,107500.0,گوساله,1392,1,20,32.3
فارس,107500.0,گوسفند,1392,1,20,32.3
فارس,107500.0,گوساله,1392,1,20,32.3
تهران,102500.0,گوسفند,1392,1,28,32.3
تهران,102500.0,گوساله,1392,1,28,32.3
اصفهان,102500.0,گوسفند,1392,1,28,32.3
اصفهان,102500.0,گوساله,1392,1,28,32.3
يزد,107500.0,گوسفند,1392,1,28,32.3
يزد,97500.0,گوساله,1392,1,28,32.3
خراسان رضوی,107500.0,گوسفند,1392,1,28,32.3
خراسان رضوی,108500.0,گوساله,1392,1,28,32.3
فارس,102500.0,گوسفند,1392,1,28,32.3
فارس,97500.0,گوساله,1392,1,28,32.3
تهران,102500.0,گوسفند,1392,2,15,34
تهران,112500.0,گوساله,1392,2,15,34
اصفهان,102500.0,گوسفند,1392,2,15,34
اصفهان,102500.0,گوساله,1392,2,15,34
يزد,107500.0,گوسفند,1392,2,15,34
يزد,97500.0,گوساله,1392,2,15,34
خراسان رضوی,107500.0,گوسفند,1392,2,15,34
خراسان رضوی,107500.0,گوساله,1392,2,15,34
فارس,107500.0,گوسفند,1392,2,15,34
فارس,97500.0,گوساله,1392,2,15,34
تهران,102500.0,گوسفند,1392,2,7,34
تهران,112500.0,گوساله,1392,2,7,34
اصفهان,102500.0,گوسفند,1392,2,7,34
اصفهان,102500.0,گوساله,1392,2,7,34
يزد,107500.0,گوسفند,1392,2,7,34
يزد,97500.0,گوساله,1392,2,7,34
خراسان رضوی,107500.0,گوسفند,1392,2,7,34
خراسان رضوی,107500.0,گوساله,1392,2,7,34
فارس,107500.0,گوسفند,1392,2,7,34
فارس,97500.0,گوساله,1392,2,7,34
تهران,102500.0,گوسفند,1392,2,24,34
تهران,105000.0,گوساله,1392,2,24,34
اصفهان,100000.0,گوسفند,1392,2,24,34
اصفهان,100000.0,گوساله,1392,2,24,34
يزد,107500.0,گوسفند,1392,2,24,34
يزد,97500.0,گوساله,1392,2,24,34
خراسان رضوی,102500.0,گوسفند,1392,2,24,34
خراسان رضوی,102500.0,گوساله,1392,2,24,34
فارس,105000.0,گوسفند,1392,2,24,34
فارس,100000.0,گوساله,1392,2,24,34
تهران,102500.0,گوسفند,1392,2,14,34
تهران,112500.0,گوساله,1392,2,14,34
اصفهان,102500.0,گوسفند,1392,2,14,34
اصفهان,102500.0,گوساله,1392,2,14,34
يزد,107500.0,گوسفند,1392,2,14,34
يزد,97500.0,گوساله,1392,2,14,34
خراسان رضوی,107500.0,گوسفند,1392,2,14,34
خراسان رضوی,107500.0,گوساله,1392,2,14,34
فارس,107500.0,گوسفند,1392,2,14,34
فارس,97500.0,گوساله,1392,2,14,34
تهران,102500.0,گوسفند,1392,1,26,32.3
تهران,102500.0,گوساله,1392,1,26,32.3
اصفهان,102500.0,گوسفند,1392,1,26,32.3
اصفهان,102500.0,گوساله,1392,1,26,32.3
يزد,107500.0,گوسفند,1392,1,26,32.3
يزد,102500.0,گوساله,1392,1,26,32.3
خراسان رضوی,107500.0,گوسفند,1392,1,26,32.3
خراسان رضوی,108500.0,گوساله,1392,1,26,32.3
فارس,102500.0,گوسفند,1392,1,26,32.3
فارس,97500.0,گوساله,1392,1,26,32.3
تهران,102500.0,گوسفند,1392,2,16,34
تهران,112500.0,گوساله,1392,2,16,34
اصفهان,102500.0,گوسفند,1392,2,16,34
اصفهان,102500.0,گوساله,1392,2,16,34
يزد,107500.0,گوسفند,1392,2,16,34
يزد,97500.0,گوساله,1392,2,16,34
خراسان رضوی,107500.0,گوسفند,1392,2,16,34
خراسان رضوی,107500.0,گوساله,1392,2,16,34
فارس,107500.0,گوسفند,1392,2,16,34
فارس,97500.0,گوساله,1392,2,16,34
تهران,102500.0,گوسفند,1392,1,31,32.3
تهران,112500.0,گوساله,1392,1,31,32.3
اصفهان,102500.0,گوسفند,1392,1,31,32.3
اصفهان,102500.0,گوساله,1392,1,31,32.3
يزد,107500.0,گوسفند,1392,1,31,32.3
يزد,97500.0,گوساله,1392,1,31,32.3
خراسان رضوی,107500.0,گوسفند,1392,1,31,32.3
خراسان رضوی,107500.0,گوساله,1392,1,31,32.3
فارس,107500.0,گوسفند,1392,1,31,32.3
فارس,97500.0,گوساله,1392,1,31,32.3
تهران,107500.0,گوسفند,1392,1,18,32.3
تهران,112500.0,گوساله,1392,1,18,32.3
اصفهان,112500.0,گوسفند,1392,1,18,32.3
اصفهان,107500.0,گوساله,1392,1,18,32.3
يزد,112500.0,گوسفند,1392,1,18,32.3
يزد,102500.0,گوساله,1392,1,18,32.3
خراسان رضوی,112500.0,گوسفند,1392,1,18,32.3
خراسان رضوی,107500.0,گوساله,1392,1,18,32.3
فارس,107500.0,گوسفند,1392,1,18,32.3
فارس,107500.0,گوساله,1392,1,18,32.3
تهران,102500.0,گوسفند,1392,2,8,34
تهران,112500.0,گوساله,1392,2,8,34
اصفهان,102500.0,گوسفند,1392,2,8,34
اصفهان,102500.0,گوساله,1392,2,8,34
يزد,107500.0,گوسفند,1392,2,8,34
يزد,97500.0,گوساله,1392,2,8,34
خراسان رضوی,107500.0,گوسفند,1392,2,8,34
خراسان رضوی,107500.0,گوساله,1392,2,8,34
فارس,107500.0,گوسفند,1392,2,8,34
فارس,97500.0,گوساله,1392,2,8,34
تهران,102500.0,گوسفند,1392,2,3,34
تهران,112500.0,گوساله,1392,2,3,34
اصفهان,105500.0,گوسفند,1392,2,3,34
اصفهان,102500.0,گوساله,1392,2,3,34
يزد,107500.0,گوسفند,1392,2,3,34
يزد,97500.0,گوساله,1392,2,3,34
خراسان رضوی,107500.0,گوسفند,1392,2,3,34
خراسان رضوی,107500.0,گوساله,1392,2,3,34
فارس,107500.0,گوسفند,1392,2,3,34
فارس,97500.0,گوساله,1392,2,3,34
تهران,102500.0,گوسفند,1392,2,21,34
تهران,105000.0,گوساله,1392,2,21,34
اصفهان,102500.0,گوسفند,1392,2,21,34
اصفهان,102500.0,گوساله,1392,2,21,34
يزد,107500.0,گوسفند,1392,2,21,34
يزد,97500.0,گوساله,1392,2,21,34
خراسان رضوی,105000.0,گوسفند,1392,2,21,34
خراسان رضوی,105000.0,گوساله,1392,2,21,34
فارس,105000.0,گوسفند,1392,2,21,34
فارس,97500.0,گوساله,1392,2,21,34
تهران,102500.0,گوسفند,1392,2,18,34
تهران,112500.0,گوساله,1392,2,18,34
اصفهان,102500.0,گوسفند,1392,2,18,34
اصفهان,102500.0,گوساله,1392,2,18,34
يزد,107500.0,گوسفند,1392,2,18,34
يزد,97500.0,گوساله,1392,2,18,34
خراسان رضوی,107500.0,گوسفند,1392,2,18,34
خراسان رضوی,105000.0,گوساله,1392,2,18,34
فارس,105000.0,گوسفند,1392,2,18,34
فارس,97500.0,گوساله,1392,2,18,34
تهران,102500.0,گوسفند,1392,2,4,34
تهران,112500.0,گوساله,1392,2,4,34
اصفهان,105500.0,گوسفند,1392,2,4,34
اصفهان,102500.0,گوساله,1392,2,4,34
يزد,107500.0,گوسفند,1392,2,4,34
يزد,97500.0,گوساله,1392,2,4,34
خراسان رضوی,107500.0,گوسفند,1392,2,4,34
خراسان رضوی,107500.0,گوساله,1392,2,4,34
فارس,107500.0,گوسفند,1392,2,4,34
فارس,97500.0,گوساله,1392,2,4,34
تهران,107500.0,گوسفند,1392,1,19,32.3
تهران,112500.0,گوساله,1392,1,19,32.3
اصفهان,112500.0,گوسفند,1392,1,19,32.3
اصفهان,107500.0,گوساله,1392,1,19,32.3
يزد,112500.0,گوسفند,1392,1,19,32.3
يزد,102500.0,گوساله,1392,1,19,32.3
خراسان رضوی,112500.0,گوسفند,1392,1,19,32.3
خراسان رضوی,107500.0,گوساله,1392,1,19,32.3
فارس,107500.0,گوسفند,1392,1,19,32.3
فارس,107500.0,گوساله,1392,1,19,32.3
تهران,102500.0,گوسفند,1392,2,17,34
تهران,112500.0,گوساله,1392,2,17,34
اصفهان,102500.0,گوسفند,1392,2,17,34
اصفهان,102500.0,گوساله,1392,2,17,34
يزد,107500.0,گوسفند,1392,2,17,34
يزد,97500.0,گوساله,1392,2,17,34
خراسان رضوی,107500.0,گوسفند,1392,2,17,34
خراسان رضوی,107500.0,گوساله,1392,2,17,34
فارس,105000.0,گوسفند,1392,2,17,34
فارس,97500.0,گوساله,1392,2,17,34
تهران,102500.0,گوسفند,1392,2,22,34
تهران,105000.0,گوساله,1392,2,22,34
اصفهان,102500.0,گوسفند,1392,2,22,34
اصفهان,102500.0,گوساله,1392,2,22,34
يزد,107500.0,گوسفند,1392,2,22,34
يزد,97500.0,گوساله,1392,2,22,34
خراسان رضوی,105000.0,گوسفند,1392,2,22,34
خراسان رضوی,105000.0,گوساله,1392,2,22,34
فارس,105000.0,گوسفند,1392,2,22,34
فارس,97500.0,گوساله,1392,2,22,34
تهران,102500.0,گوسفند,1392,2,30,34
تهران,105000.0,گوساله,1392,2,30,34
اصفهان,100000.0,گوسفند,1392,2,30,34
اصفهان,100000.0,گوساله,1392,2,30,34
يزد,107500.0,گوسفند,1392,2,30,34
يزد,97500.0,گوساله,1392,2,30,34
خراسان رضوی,102500.0,گوسفند,1392,2,30,34
خراسان رضوی,102500.0,گوساله,1392,2,30,34
فارس,105000.0,گوسفند,1392,2,30,34
فارس,100000.0,گوساله,1392,2,30,34
تهران,102500.0,گوسفند,1392,3,4,35.9
تهران,105000.0,گوساله,1392,3,4,35.9
اصفهان,100000.0,گوسفند,1392,3,4,35.9
اصفهان,100000.0,گوساله,1392,3,4,35.9
يزد,107500.0,گوسفند,1392,3,4,35.9
يزد,97500.0,گوساله,1392,3,4,35.9
خراسان رضوی,104000.0,گوسفند,1392,3,4,35.9
خراسان رضوی,102500.0,گوساله,1392,3,4,35.9
فارس,105000.0,گوسفند,1392,3,4,35.9
فارس,100000.0,گوساله,1392,3,4,35.9
تهران,102500.0,گوسفند,1392,3,8,35.9
تهران,105000.0,گوساله,1392,3,8,35.9
اصفهان,97500.0,گوسفند,1392,3,8,35.9
اصفهان,97500.0,گوساله,1392,3,8,35.9
يزد,105000.0,گوسفند,1392,3,8,35.9
يزد,97500.0,گوساله,1392,3,8,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,8,35.9
خراسان رضوی,102500.0,گوساله,1392,3,8,35.9
فارس,105000.0,گوسفند,1392,3,8,35.9
فارس,100000.0,گوساله,1392,3,8,35.9
تهران,102500.0,گوسفند,1392,3,5,35.9
تهران,105000.0,گوساله,1392,3,5,35.9
اصفهان,100000.0,گوسفند,1392,3,5,35.9
اصفهان,100000.0,گوساله,1392,3,5,35.9
يزد,107500.0,گوسفند,1392,3,5,35.9
يزد,97500.0,گوساله,1392,3,5,35.9
خراسان رضوی,104000.0,گوسفند,1392,3,5,35.9
خراسان رضوی,102500.0,گوساله,1392,3,5,35.9
فارس,105000.0,گوسفند,1392,3,5,35.9
فارس,100000.0,گوساله,1392,3,5,35.9
تهران,104000.0,گوسفند,1392,4,23,37.5
تهران,92500.0,گوساله,1392,4,23,37.5
اصفهان,100000.0,گوسفند,1392,4,23,37.5
اصفهان,96500.0,گوساله,1392,4,23,37.5
يزد,105000.0,گوسفند,1392,4,23,37.5
يزد,92500.0,گوساله,1392,4,23,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,23,37.5
خراسان رضوی,97500.0,گوساله,1392,4,23,37.5
فارس,107500.0,گوسفند,1392,4,23,37.5
فارس,100000.0,گوساله,1392,4,23,37.5
تهران,105000.0,گوسفند,1392,3,7,35.9
تهران,105000.0,گوساله,1392,3,7,35.9
اصفهان,100000.0,گوسفند,1392,3,7,35.9
اصفهان,100000.0,گوساله,1392,3,7,35.9
يزد,107500.0,گوسفند,1392,3,7,35.9
يزد,97500.0,گوساله,1392,3,7,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,7,35.9
خراسان رضوی,102500.0,گوساله,1392,3,7,35.9
فارس,105000.0,گوسفند,1392,3,7,35.9
فارس,100000.0,گوساله,1392,3,7,35.9
تهران,102500.0,گوسفند,1392,3,1,35.9
تهران,105000.0,گوساله,1392,3,1,35.9
اصفهان,100000.0,گوسفند,1392,3,1,35.9
اصفهان,100000.0,گوساله,1392,3,1,35.9
يزد,107500.0,گوسفند,1392,3,1,35.9
يزد,97500.0,گوساله,1392,3,1,35.9
خراسان رضوی,102500.0,گوسفند,1392,3,1,35.9
خراسان رضوی,102500.0,گوساله,1392,3,1,35.9
فارس,105000.0,گوسفند,1392,3,1,35.9
فارس,100000.0,گوساله,1392,3,1,35.9
تهران,102500.0,گوسفند,1392,2,31,34
تهران,105000.0,گوساله,1392,2,31,34
اصفهان,100000.0,گوسفند,1392,2,31,34
اصفهان,100000.0,گوساله,1392,2,31,34
يزد,107500.0,گوسفند,1392,2,31,34
يزد,97500.0,گوساله,1392,2,31,34
خراسان رضوی,102500.0,گوسفند,1392,2,31,34
خراسان رضوی,102500.0,گوساله,1392,2,31,34
فارس,105000.0,گوسفند,1392,2,31,34
فارس,100000.0,گوساله,1392,2,31,34
تهران,105000.0,گوسفند,1392,3,6,35.9
تهران,105000.0,گوساله,1392,3,6,35.9
اصفهان,100000.0,گوسفند,1392,3,6,35.9
اصفهان,100000.0,گوساله,1392,3,6,35.9
يزد,107500.0,گوسفند,1392,3,6,35.9
يزد,97500.0,گوساله,1392,3,6,35.9
خراسان رضوی,104000.0,گوسفند,1392,3,6,35.9
خراسان رضوی,102500.0,گوساله,1392,3,6,35.9
فارس,105000.0,گوسفند,1392,3,6,35.9
فارس,100000.0,گوساله,1392,3,6,35.9
تهران,107500.0,گوسفند,1392,3,22,35.9
تهران,97500.0,گوساله,1392,3,22,35.9
اصفهان,100000.0,گوسفند,1392,3,22,35.9
اصفهان,97500.0,گوساله,1392,3,22,35.9
يزد,105000.0,گوسفند,1392,3,22,35.9
يزد,92500.0,گوساله,1392,3,22,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,22,35.9
خراسان رضوی,102500.0,گوساله,1392,3,22,35.9
فارس,107500.0,گوسفند,1392,3,22,35.9
فارس,100000.0,گوساله,1392,3,22,35.9
تهران,105000.0,گوسفند,1392,4,2,37.5
تهران,100000.0,گوساله,1392,4,2,37.5
اصفهان,100000.0,گوسفند,1392,4,2,37.5
اصفهان,100000.0,گوساله,1392,4,2,37.5
يزد,105000.0,گوسفند,1392,4,2,37.5
يزد,92500.0,گوساله,1392,4,2,37.5
خراسان رضوی,105000.0,گوسفند,1392,4,2,37.5
خراسان رضوی,102500.0,گوساله,1392,4,2,37.5
فارس,107500.0,گوسفند,1392,4,2,37.5
فارس,100000.0,گوساله,1392,4,2,37.5
تهران,102500.0,گوسفند,1392,3,11,35.9
تهران,105000.0,گوساله,1392,3,11,35.9
اصفهان,97500.0,گوسفند,1392,3,11,35.9
اصفهان,97500.0,گوساله,1392,3,11,35.9
يزد,105000.0,گوسفند,1392,3,11,35.9
يزد,97500.0,گوساله,1392,3,11,35.9
خراسان رضوی,105000.0,گوسفند,1392,3,11,35.9
خراسان رضوی,102500.0,گوساله,1392,3,11,35.9
فارس,105000.0,گوسفند,1392,3,11,35.9
فارس,100000.0,گوساله,1392,3,11,35.9
تهران,100000.0,گوسفند,1392,4,15,37.5
تهران,91000.0,گوساله,1392,4,15,37.5
اصفهان,97500.0,گوسفند,1392,4,15,37.5
اصفهان,97500.0,گوساله,1392,4,15,37.5
يزد,105000.0,گوسفند,1392,4,15,37.5
يزد,92500.0,گوساله,1392,4,15,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,15,37.5
خراسان رضوی,97500.0,گوساله,1392,4,15,37.5
فارس,107500.0,گوسفند,1392,4,15,37.5
فارس,100000.0,گوساله,1392,4,15,37.5
تهران,104000.0,گوسفند,1392,4,18,37.5
تهران,92500.0,گوساله,1392,4,18,37.5
اصفهان,100000.0,گوسفند,1392,4,18,37.5
اصفهان,96500.0,گوساله,1392,4,18,37.5
يزد,105000.0,گوسفند,1392,4,18,37.5
يزد,92500.0,گوساله,1392,4,18,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,18,37.5
خراسان رضوی,97500.0,گوساله,1392,4,18,37.5
فارس,107500.0,گوسفند,1392,4,18,37.5
فارس,100000.0,گوساله,1392,4,18,37.5
تهران,104000.0,گوسفند,1392,4,19,37.5
تهران,92500.0,گوساله,1392,4,19,37.5
اصفهان,100000.0,گوسفند,1392,4,19,37.5
اصفهان,96500.0,گوساله,1392,4,19,37.5
يزد,105000.0,گوسفند,1392,4,19,37.5
يزد,92500.0,گوساله,1392,4,19,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,19,37.5
خراسان رضوی,97500.0,گوساله,1392,4,19,37.5
فارس,107500.0,گوسفند,1392,4,19,37.5
فارس,100000.0,گوساله,1392,4,19,37.5
تهران,104000.0,گوسفند,1392,4,24,37.5
تهران,92500.0,گوساله,1392,4,24,37.5
اصفهان,100000.0,گوسفند,1392,4,24,37.5
اصفهان,96500.0,گوساله,1392,4,24,37.5
يزد,105000.0,گوسفند,1392,4,24,37.5
يزد,92500.0,گوساله,1392,4,24,37.5
خراسان رضوی,104500.0,گوسفند,1392,4,24,37.5
خراسان رضوی,97500.0,گوساله,1392,4,24,37.5
فارس,107500.0,گوسفند,1392,4,24,37.5
فارس,100000.0,گوساله,1392,4,24,37.5
تهران,107500.0,گوسفند,1392,3,28,35.9
